$\mu_{m}$,n,z,dx,dy,Slope of bestfit,HARS,Intercept
10,2,0.0,3.0,0.6,0.5753727555274963,0.922,0.15724170207977295
10,3,0.0,3.0,0.3,0.411937952041626,0.902,0.015550273470580578
10,4,0.0,3.0,0.3,0.6318522095680237,0.827,0.19467464089393616
10,5,0.0,3.0,0.3,0.6955803036689758,0.814,0.05522596091032028
10,8,0.0,3.0,0.8999999999999999,0.853360652923584,0.69,0.17831657826900482
10,10,0.0,3.0,0.6,0.9295646548271179,0.627,0.27800804376602173
10,15,0.0,3.0,1.5,1.0771480798721313,0.538,0.19630207121372223
10,20,0.0,3.0,1.5,1.151872992515564,0.477,0.35838180780410767
10,30,0.0,3.0,3.0,1.3258066177368164,0.394,0.3127097487449646
10,40,0.0,3.0,3.0,1.3939356803894043,0.322,0.3740980625152588
50,2,0.0,12.0,0.6,0.686754047870636,0.967,0.1455066204071045
50,3,0.0,12.0,0.3,0.6562695503234863,0.951,0.029859991744160652
50,4,0.0,12.0,0.3,0.7005977630615234,0.928,0.08704125881195068
50,5,0.0,12.0,0.3,0.7769522666931152,0.907,0.09426038712263107
50,8,0.0,12.0,0.8999999999999999,0.8780310750007629,0.868,0.008733616210520267
50,10,0.0,12.0,0.6,0.9354392886161804,0.834,0.24848105013370514
50,15,0.0,12.0,1.5,1.021073818206787,0.785,0.26893824338912964
50,20,0.0,12.0,1.5,1.0866374969482422,0.749,0.3443089425563812
50,30,0.0,12.0,3.0,1.2094619274139404,0.7,0.22760805487632751
50,40,0.0,12.0,3.0,1.23637855052948,0.648,0.5278107523918152
100,2,0.0,15.0,0.6,0.7048289775848389,0.978,0.05052313581109047
100,3,0.0,15.0,0.3,0.6859558820724487,0.966,0.1666351854801178
100,4,0.0,15.0,0.3,0.7072982788085938,0.953,0.2458827644586563
100,5,0.0,15.0,0.3,0.766337513923645,0.94,0.2508428990840912
100,8,0.0,15.0,0.8999999999999999,0.8832186460494995,0.904,0.286171555519104
100,10,0.0,15.0,0.6,0.9644393920898438,0.893,0.06458931416273117
100,15,0.0,15.0,1.5,1.0032849311828613,0.849,0.3540223240852356
100,20,0.0,15.0,1.5,1.0805144309997559,0.821,0.2070077359676361
100,30,0.0,15.0,3.0,1.166646957397461,0.779,0.2680983543395996
100,40,0.0,15.0,3.0,1.2337465286254883,0.755,0.36492919921875
200,2,0.0,30.0,0.6,0.7121086120605469,0.987,0.04554545134305954
200,3,0.0,30.0,0.3,0.716180682182312,0.975,0.03931073844432831
200,4,0.0,30.0,0.3,0.7334084510803223,0.971,0.2527317404747009
200,5,0.0,30.0,0.3,0.7739259004592896,0.959,0.3097022473812103
200,8,0.0,30.0,0.8999999999999999,0.8871044516563416,0.936,0.061848677694797516
200,10,0.0,30.0,0.6,0.9387677907943726,0.925,0.03987814486026764
200,15,0.0,30.0,1.5,1.0164976119995117,0.892,0.22563882172107697
200,20,0.0,30.0,1.5,1.0672460794448853,0.873,0.2904164493083954
200,30,0.0,30.0,3.0,1.1571394205093384,0.839,0.27755481004714966
200,40,0.0,30.0,3.0,1.2029670476913452,0.814,0.3799717426300049
500,2,0.0,90.0,0.6,0.7524245381355286,0.991,0.07132091373205185
500,3,0.0,90.0,0.3,0.7071177363395691,0.986,0.2105691283941269
500,4,0.0,90.0,0.3,0.781580924987793,0.979,0.09021460264921188
500,5,0.0,90.0,0.3,0.8207605481147766,0.971,0.16752706468105316
500,8,0.0,90.0,0.8999999999999999,0.8883031010627747,0.96,0.3006119430065155
500,10,0.0,90.0,0.6,0.9258489608764648,0.947,0.39822447299957275
500,15,0.0,90.0,1.5,1.0192387104034424,0.937,0.2446945607662201
500,20,0.0,90.0,1.5,1.0606818199157715,0.917,0.41388484835624695
500,30,0.0,90.0,3.0,1.1440798044204712,0.901,0.24700258672237396
500,40,0.0,90.0,3.0,1.1816080808639526,0.886,0.4781394302845001
